Diploma notu dönüşüm tablosu:
dörtlük sistem: 1.69, yüzlük sistem 46.10, yüzlük sistem
dörtlük sistem: 1.68, yüzlük sistem 45.86, yüzlük sistem
dörtlük sistem: 1.67, yüzlük sistem 45.63, yüzlük sistem
dörtlük sistem: 1.66, yüzlük sistem 45.40, yüzlük sistem
dörtlük sistem: 1.65, yüzlük sistem 45.16, yüzlük sistem
dörtlük sistem: 1.64, yüzlük sistem 44.93, yüzlük sistem
dörtlük sistem: 1.63, yüzlük sistem 44.70, yüzlük sistem
dörtlük sistem: 1.62, yüzlük sistem 44.46, yüzlük sistem
dörtlük sistem: 1.61, yüzlük sistem 44.23, yüzlük sistem
dörtlük sistem: 1.6, yüzlük sistem 44, yüzlük sistem
dörtlük sistem: 1.59, yüzlük sistem 43.76, yüzlük sistem
dörtlük sistem: 1.58, yüzlük sistem 43.53, yüzlük sistem
dörtlük sistem: 1.57, yüzlük sistem 43.30, yüzlük sistem
dörtlük sistem: 1.56, yüzlük sistem 43.06, yüzlük sistem
dörtlük sistem: 1.55, yüzlük sistem 42.83, yüzlük sistem
dörtlük sistem: 1.54, yüzlük sistem 42.60, yüzlük sistem
dörtlük sistem: 1.53, yüzlük sistem 42.36, yüzlük sistem
dörtlük sistem: 1.52, yüzlük sistem 42.13, yüzlük sistem
dörtlük sistem: 1.51, yüzlük sistem 41.90, yüzlük sistem
dörtlük sistem: 1.5, yüzlük sistem 41.66, yüzlük sistem
dörtlük sistem: 1.49, yüzlük sistem 41.43, yüzlük sistem
dörtlük sistem: 1.48, yüzlük sistem 41.20, yüzlük sistem
dörtlük sistem: 1.47, yüzlük sistem 40.96, yüzlük sistem
dörtlük sistem: 1.46, yüzlük sistem 40.73, yüzlük sistem
dörtlük sistem: 1.45, yüzlük sistem 40.50, yüzlük sistem
dörtlük sistem: 1.44, yüzlük sistem 40.26, yüzlük sistem
dörtlük sistem: 1.43, yüzlük sistem 40.03, yüzlük sistem
dörtlük sistem: 1.42, yüzlük sistem 39.80, yüzlük sistem
dörtlük sistem: 1.41, yüzlük sistem 39.56, yüzlük sistem
dörtlük sistem: 1.4, yüzlük sistem 39.33, yüzlük sistem
dörtlük sistem: 1.39, yüzlük sistem 39.10, yüzlük sistem
dörtlük sistem: 1.38, yüzlük sistem 38.86, yüzlük sistem
dörtlük sistem: 1.37, yüzlük sistem 38.63, yüzlük sistem
dörtlük sistem: 1.36, yüzlük sistem 38.40, yüzlük sistem
dörtlük sistem: 1.35, yüzlük sistem 38.16, yüzlük sistem
dörtlük sistem: 1.34, yüzlük sistem 37.93, yüzlük sistem
dörtlük sistem: 1.33, yüzlük sistem 37.70, yüzlük sistem
dörtlük sistem: 1.32, yüzlük sistem 37.46, yüzlük sistem
dörtlük sistem: 1.31, yüzlük sistem 37.23, yüzlük sistem
dörtlük sistem: 1.3, yüzlük sistem 37.00, yüzlük sistem
dörtlük sistem: 1.29, yüzlük sistem 36.76, yüzlük sistem
dörtlük sistem: 1.28, yüzlük sistem 36.53, yüzlük sistem
dörtlük sistem: 1.27, yüzlük sistem 36.30, yüzlük sistem
dörtlük sistem: 1.26, yüzlük sistem 36.06, yüzlük sistem
dörtlük sistem: 1.25, yüzlük sistem 35.83, yüzlük sistem
dörtlük sistem: 1.24, yüzlük sistem 35.60, yüzlük sistem
dörtlük sistem: 1.23, yüzlük sistem 35.36, yüzlük sistem
